TransactionID,Branch,Product,Channel,IncomeBand,OfferType,FeeType,CustomerID,TransactionDate,TransactionValue,RevenueFee,NPSCategory
22,Malaga,Checking Account,ATM,Low Income,Platinum,Late Payment Fees,4996,30/07/2023,1620,367,Detractor
23,Zaragoza,Credit Card,Branch,Middle Income,Student,Late Payment Fees,4496,18/05/2023,7608,462,Detractor
24,Madrid,Savings Account,ATM,Middle Income,Others,Credit Card Fees,2578,06/02/2024,5689,142,Passive
25,Valencia,Mortgage,Online,High Income,Business,Late Payment Fees,4928,10/06/2024,8580,148,Detractor
26,Bilbao,Mortgage,Branch,Low Income,Platinum,Insurance Fees,8621,12/02/2024,2747,370,Detractor
27,Madrid,Loan,Online,Middle Income,Platinum,Credit Card Fees,6641,30/08/2024,204,415,Detractor
28,Zaragoza,Credit Card,Mobile,Middle Income,Business,Late Payment Fees,5834,01/04/2024,3123,115,Detractor
29,Malaga,Checking Account,ATM,Low Income,Business,Credit Card Fees,8155,01/12/2023,4651,444,Promoter
30,Valencia,Savings Account,Branch,High Income,Business,Credit Card Fees,6508,25/01/2023,5911,222,Passive
31,Madrid,Credit Card,Mobile,High Income,Business,Late Payment Fees,7119,11/04/2024,821,75,Passive
32,Bilbao,Loan,Branch,Low Income,Platinum,Late Payment Fees,9705,22/02/2023,3197,422,Detractor
33,Bilbao,Mortgage,ATM,High Income,Others,Credit Card Fees,2925,18/11/2023,2482,438,Detractor
34,Murcia,Savings Account,ATM,High Income,Platinum,Late Payment Fees,8487,05/04/2024,6033,302,Passive
35,Murcia,Mortgage,Mobile,Low Income,Platinum,Credit Card Fees,3420,12/09/2023,705,110,Detractor
36,Barcelona,Savings Account,ATM,Low Income,Platinum,Insurance Fees,9177,01/07/2024,2274,102,Passive
37,Zaragoza,Checking Account,Online,High Income,Business,Credit Card Fees,9279,13/01/2024,1022,21,Passive
38,Madrid,Savings Account,Online,High Income,Platinum,Late Payment Fees,2469,01/05/2024,3134,483,Detractor
39,Madrid,Checking Account,Mobile,Middle Income,Platinum,Credit Card Fees,1640,17/03/2024,2905,300,Detractor
40,Barcelona,Credit Card,Online,High Income,Others,Insurance Fees,8983,27/09/2024,6734,104,Promoter
41,Malaga,Mortgage,ATM,Middle Income,Student,Credit Card Fees,9080,02/04/2023,848,462,Promoter
42,Malaga,Savings Account,Mobile,Low Income,Others,Late Payment Fees,6160,30/12/2024,654,259,Promoter
43,Barcelona,Savings Account,Branch,Middle Income,Others,Insurance Fees,5143,22/02/2023,8615,7,Promoter
44,Malaga,Loan,Online,High Income,Others,Insurance Fees,8376,15/08/2023,3536,404,Passive
45,Murcia,Mortgage,Mobile,Middle Income,Platinum,Late Payment Fees,6006,11/05/2023,7447,7,Promoter
46,Madrid,Credit Card,Mobile,High Income,Others,Late Payment Fees,1076,14/06/2024,8007,464,Detractor
47,Barcelona,Checking Account,ATM,High Income,Others,Insurance Fees,5007,05/04/2024,5961,42,Detractor
48,Madrid,Credit Card,ATM,High Income,Business,Insurance Fees,7882,04/11/2023,9839,493,Detractor
49,Bilbao,Loan,Mobile,Low Income,Others,Credit Card Fees,8021,25/05/2024,5959,475,Detractor
50,Murcia,Credit Card,Online,Middle Income,Others,Credit Card Fees,3550,19/12/2023,4110,485,Promoter
51,Valencia,Checking Account,Online,Middle Income,Business,Insurance Fees,1476,12/08/2024,1324,400,Passive
52,Murcia,Mortgage,Mobile,Middle Income,Student,Insurance Fees,8044,03/11/2023,8586,372,Detractor
53,Barcelona,Loan,Mobile,Middle Income,Others,Late Payment Fees,8354,15/12/2023,5371,209,Passive
54,Valencia,Savings Account,Branch,High Income,Platinum,Late Payment Fees,5526,26/06/2023,1222,334,Passive
55,Bilbao,Savings Account,Branch,Middle Income,Business,Late Payment Fees,6029,29/07/2023,3347,432,Promoter
56,Barcelona,Mortgage,Online,Middle Income,Platinum,Insurance Fees,3579,21/02/2023,9998,482,Detractor
57,Zaragoza,Credit Card,ATM,Low Income,Platinum,Late Payment Fees,6583,05/11/2023,4884,33,Passive
58,Madrid,Savings Account,Branch,Low Income,Business,Credit Card Fees,3018,06/12/2024,5101,243,Detractor
59,Bilbao,Loan,Mobile,Middle Income,Platinum,Insurance Fees,5099,10/03/2024,1070,358,Promoter
60,Madrid,Checking Account,Branch,Low Income,Business,Credit Card Fees,3029,15/04/2023,4602,450,Promoter
61,Malaga,Credit Card,ATM,Low Income,Others,Late Payment Fees,3355,18/12/2023,855,109,Detractor
62,Zaragoza,Checking Account,ATM,Low Income,Student,Late Payment Fees,5434,06/09/2024,9878,111,Detractor
63,Zaragoza,Credit Card,ATM,High Income,Platinum,Insurance Fees,1353,29/07/2023,6414,36,Detractor
64,Bilbao,Loan,Mobile,Low Income,Others,Late Payment Fees,3012,11/08/2023,207,232,Passive
65,Zaragoza,Checking Account,Online,Low Income,Student,Insurance Fees,5839,23/12/2023,9582,216,Detractor
66,Valencia,Loan,ATM,Middle Income,Student,Insurance Fees,8388,04/12/2024,1203,168,Detractor
67,Zaragoza,Checking Account,ATM,Middle Income,Student,Late Payment Fees,9196,07/06/2023,3868,242,Promoter
68,Madrid,Credit Card,Online,High Income,Others,Insurance Fees,9781,20/10/2024,6045,334,Detractor
69,Madrid,Loan,Online,Low Income,Student,Credit Card Fees,6527,01/05/2023,4194,347,Detractor
70,Barcelona,Credit Card,ATM,Middle Income,Business,Insurance Fees,7910,14/05/2024,6978,216,Detractor
71,Madrid,Credit Card,ATM,High Income,Student,Credit Card Fees,1975,26/02/2024,4229,462,Passive
72,Barcelona,Checking Account,Mobile,Middle Income,Others,Late Payment Fees,1552,10/06/2024,961,36,Promoter
73,Madrid,Checking Account,Mobile,Middle Income,Student,Insurance Fees,5809,29/12/2024,806,301,Detractor
74,Valencia,Loan,Online,Low Income,Platinum,Credit Card Fees,1508,05/10/2024,4290,97,Detractor
75,Barcelona,Savings Account,ATM,Middle Income,Business,Late Payment Fees,8131,26/01/2023,1014,239,Promoter
76,Murcia,Mortgage,Online,Low Income,Business,Insurance Fees,2682,25/05/2023,2973,344,Promoter
77,Malaga,Checking Account,Online,Low Income,Business,Insurance Fees,4185,28/02/2024,8956,207,Promoter
78,Bilbao,Credit Card,Branch,Middle Income,Others,Late Payment Fees,7335,14/09/2023,7119,429,Passive
79,Madrid,Mortgage,Mobile,High Income,Others,Credit Card Fees,6566,03/10/2024,5679,331,Detractor
80,Zaragoza,Loan,Branch,Middle Income,Business,Late Payment Fees,5723,11/06/2023,3782,233,Detractor
81,Madrid,Mortgage,Branch,High Income,Others,Credit Card Fees,9331,01/10/2023,3586,69,Passive
82,Zaragoza,Mortgage,Online,Middle Income,Platinum,Late Payment Fees,6199,18/05/2023,6890,132,Detractor
83,Malaga,Savings Account,Mobile,Low Income,Business,Insurance Fees,2666,13/12/2023,440,381,Detractor
84,Malaga,Savings Account,Branch,High Income,Others,Credit Card Fees,9454,19/04/2023,3002,327,Detractor
85,Malaga,Mortgage,Mobile,Middle Income,Student,Credit Card Fees,5893,22/05/2023,5993,338,Passive
86,Zaragoza,Savings Account,Branch,Middle Income,Platinum,Insurance Fees,6500,27/08/2024,8334,162,Promoter
87,Madrid,Savings Account,Branch,Low Income,Others,Late Payment Fees,9913,19/06/2023,5272,279,Passive
88,Malaga,Mortgage,Online,Middle Income,Business,Late Payment Fees,7806,12/09/2024,8269,371,Passive
89,Valencia,Checking Account,Mobile,Low Income,Business,Late Payment Fees,2476,23/01/2024,629,304,Detractor
90,Barcelona,Savings Account,Branch,High Income,Business,Insurance Fees,5454,23/07/2024,2583,157,Detractor
91,Zaragoza,Mortgage,ATM,Middle Income,Others,Insurance Fees,5585,04/08/2023,9356,77,Detractor
92,Zaragoza,Checking Account,ATM,Middle Income,Platinum,Credit Card Fees,5501,12/10/2024,2560,284,Detractor
93,Madrid,Savings Account,Mobile,Low Income,Student,Insurance Fees,2616,15/08/2023,4082,265,Detractor
94,Zaragoza,Mortgage,ATM,Low Income,Platinum,Insurance Fees,2305,14/10/2024,8205,342,Promoter
95,Zaragoza,Savings Account,Online,Middle Income,Business,Credit Card Fees,5976,18/11/2023,6427,243,Promoter
96,Malaga,Checking Account,Mobile,High Income,Others,Credit Card Fees,7378,30/01/2024,1391,78,Passive
97,Madrid,Mortgage,ATM,Low Income,Student,Insurance Fees,2049,02/12/2023,782,58,Passive
98,Malaga,Checking Account,Mobile,High Income,Business,Late Payment Fees,4895,14/08/2023,1041,399,Promoter
99,Barcelona,Credit Card,Online,High Income,Student,Late Payment Fees,2292,19/03/2024,2453,388,Detractor
100,Barcelona,Loan,Mobile,High Income,Platinum,Late Payment Fees,2265,28/08/2024,1527,38,Passive
101,Malaga,Credit Card,ATM,Low Income,Student,Insurance Fees,3352,20/08/2023,5545,396,Detractor
102,Barcelona,Savings Account,Online,Low Income,Platinum,Insurance Fees,8616,07/01/2023,9914,445,Passive
103,Madrid,Checking Account,Online,High Income,Business,Credit Card Fees,5308,07/10/2023,8254,103,Detractor
104,Bilbao,Mortgage,Online,Low Income,Business,Late Payment Fees,5467,24/07/2023,5937,203,Detractor
105,Malaga,Checking Account,Online,Middle Income,Student,Insurance Fees,1922,05/05/2023,6825,113,Detractor
106,Valencia,Savings Account,Branch,High Income,Business,Insurance Fees,2148,30/09/2023,9893,211,Detractor
107,Valencia,Mortgage,Online,Middle Income,Platinum,Late Payment Fees,5969,16/04/2024,1057,126,Passive
108,Zaragoza,Credit Card,Online,Low Income,Business,Insurance Fees,1054,26/09/2024,2724,441,Detractor
109,Barcelona,Checking Account,Branch,Middle Income,Others,Insurance Fees,7456,21/06/2024,4744,415,Detractor
110,Valencia,Loan,Online,High Income,Student,Credit Card Fees,3886,11/09/2023,5742,100,Passive
111,Zaragoza,Savings Account,ATM,Middle Income,Student,Insurance Fees,4494,22/04/2023,6717,216,Promoter
112,Bilbao,Savings Account,Mobile,Low Income,Student,Insurance Fees,7138,12/11/2024,4892,375,Detractor
113,Madrid,Checking Account,Mobile,Middle Income,Platinum,Credit Card Fees,8536,11/09/2024,4043,324,Promoter
114,Madrid,Credit Card,Mobile,High Income,Platinum,Late Payment Fees,2597,08/11/2023,9853,292,Detractor
115,Madrid,Credit Card,Online,Middle Income,Business,Credit Card Fees,8164,12/03/2024,3406,451,Passive
116,Valencia,Loan,Branch,Low Income,Student,Credit Card Fees,8492,03/08/2023,1672,216,Passive
117,Bilbao,Loan,Mobile,Low Income,Others,Credit Card Fees,9535,28/11/2023,7881,66,Detractor
118,Valencia,Checking Account,Branch,Middle Income,Platinum,Credit Card Fees,7328,07/12/2023,4603,205,Promoter
119,Barcelona,Mortgage,Mobile,High Income,Platinum,Late Payment Fees,4821,11/05/2023,5468,90,Passive
120,Valencia,Credit Card,Mobile,Middle Income,Platinum,Insurance Fees,5093,24/03/2023,7743,127,Detractor
121,Bilbao,Mortgage,Online,High Income,Student,Insurance Fees,5653,09/11/2023,1508,157,Detractor
122,Bilbao,Mortgage,Online,Middle Income,Student,Late Payment Fees,8818,27/05/2023,1744,48,Passive
123,Barcelona,Checking Account,Branch,Low Income,Others,Insurance Fees,3130,01/06/2023,4019,304,Passive
124,Bilbao,Loan,Mobile,High Income,Student,Late Payment Fees,9483,09/02/2024,1704,107,Promoter
125,Bilbao,Mortgage,ATM,High Income,Student,Credit Card Fees,1090,14/09/2023,8373,458,Detractor
126,Madrid,Checking Account,ATM,High Income,Business,Insurance Fees,1751,05/08/2023,6731,91,Detractor
127,Barcelona,Loan,Mobile,Low Income,Others,Credit Card Fees,1265,12/11/2023,1203,254,Promoter
128,Murcia,Mortgage,Mobile,Low Income,Student,Credit Card Fees,6131,10/09/2024,8856,154,Passive
129,Murcia,Mortgage,ATM,Low Income,Business,Late Payment Fees,7534,19/05/2024,682,264,Promoter
130,Bilbao,Loan,Mobile,Middle Income,Student,Insurance Fees,4319,27/06/2023,1546,327,Detractor
131,Murcia,Loan,Branch,Middle Income,Others,Insurance Fees,3491,04/06/2024,8475,342,Passive
132,Murcia,Savings Account,Mobile,Middle Income,Business,Credit Card Fees,6457,19/09/2024,7441,275,Passive
133,Bilbao,Savings Account,Online,High Income,Others,Insurance Fees,2476,06/10/2024,3949,451,Promoter
134,Murcia,Checking Account,Online,High Income,Others,Late Payment Fees,3885,28/01/2023,953,238,Passive
135,Valencia,Checking Account,ATM,High Income,Business,Credit Card Fees,3379,06/04/2023,3078,29,Detractor
136,Zaragoza,Credit Card,Mobile,High Income,Others,Insurance Fees,1965,24/12/2024,3803,221,Promoter
137,Barcelona,Savings Account,Online,Low Income,Platinum,Credit Card Fees,7611,19/06/2024,9561,202,Passive
138,Zaragoza,Loan,Mobile,High Income,Business,Late Payment Fees,8141,27/07/2023,1285,161,Detractor
139,Bilbao,Savings Account,Branch,Middle Income,Business,Late Payment Fees,5096,21/09/2024,4764,244,Passive
140,Madrid,Checking Account,Online,Middle Income,Platinum,Late Payment Fees,3557,08/03/2024,7641,79,Promoter
141,Barcelona,Checking Account,ATM,Low Income,Student,Insurance Fees,8928,17/05/2024,9899,340,Promoter
142,Bilbao,Checking Account,Mobile,High Income,Student,Credit Card Fees,6320,04/07/2024,6778,232,Promoter
143,Madrid,Loan,ATM,Low Income,Others,Late Payment Fees,4973,05/02/2023,7121,89,Promoter
144,Zaragoza,Mortgage,Online,Low Income,Platinum,Credit Card Fees,9738,27/10/2024,2259,419,Detractor
145,Bilbao,Checking Account,Online,Middle Income,Others,Insurance Fees,6085,04/04/2023,5717,331,Passive
146,Barcelona,Savings Account,Online,Low Income,Platinum,Late Payment Fees,1046,06/04/2023,8203,336,Detractor
147,Barcelona,Mortgage,Branch,Low Income,Business,Late Payment Fees,1106,04/10/2024,5809,131,Detractor
148,Malaga,Savings Account,Branch,Middle Income,Student,Insurance Fees,5502,11/02/2023,7103,77,Passive
149,Valencia,Checking Account,Online,Middle Income,Student,Late Payment Fees,5000,14/04/2024,6465,75,Passive
150,Murcia,Loan,Mobile,High Income,Platinum,Late Payment Fees,4285,19/09/2023,5730,233,Detractor
151,Madrid,Mortgage,Branch,Middle Income,Others,Late Payment Fees,7728,05/05/2023,6691,239,Detractor
152,Malaga,Mortgage,Online,Low Income,Platinum,Late Payment Fees,6760,21/05/2023,2511,409,Detractor
153,Murcia,Checking Account,Mobile,Middle Income,Student,Insurance Fees,7687,19/02/2023,4911,412,Detractor
154,Murcia,Checking Account,ATM,Low Income,Business,Credit Card Fees,6608,03/06/2023,5521,238,Promoter
155,Bilbao,Checking Account,Branch,Middle Income,Others,Credit Card Fees,8646,07/12/2023,8221,80,Detractor
156,Murcia,Credit Card,Online,High Income,Student,Late Payment Fees,4161,25/08/2023,4978,409,Promoter
157,Valencia,Loan,Branch,High Income,Others,Late Payment Fees,9778,07/10/2024,4106,11,Detractor
158,Barcelona,Loan,Mobile,Low Income,Others,Credit Card Fees,9518,18/01/2023,1690,8,Detractor
159,Malaga,Checking Account,Mobile,High Income,Platinum,Insurance Fees,7253,12/05/2024,396,378,Detractor
160,Murcia,Credit Card,Mobile,Low Income,Student,Late Payment Fees,1711,30/12/2024,8419,414,Detractor
161,Bilbao,Checking Account,Branch,Middle Income,Others,Late Payment Fees,5979,13/09/2023,2881,140,Detractor
162,Valencia,Checking Account,Online,High Income,Student,Credit Card Fees,3776,06/09/2024,915,458,Detractor
163,Zaragoza,Loan,Mobile,Middle Income,Student,Late Payment Fees,6723,09/02/2023,4115,301,Detractor
164,Barcelona,Credit Card,Branch,Middle Income,Others,Credit Card Fees,8394,06/01/2023,1243,182,Detractor
165,Barcelona,Loan,ATM,Low Income,Business,Insurance Fees,5688,23/09/2023,6090,26,Detractor
166,Malaga,Checking Account,Branch,Low Income,Business,Credit Card Fees,8265,28/07/2024,8171,189,Detractor
167,Barcelona,Savings Account,Branch,High Income,Student,Credit Card Fees,3279,12/05/2023,818,138,Detractor
168,Murcia,Mortgage,ATM,Middle Income,Student,Credit Card Fees,5115,05/03/2024,7992,215,Passive
169,Bilbao,Checking Account,ATM,Middle Income,Others,Credit Card Fees,6809,15/07/2023,5619,89,Detractor
170,Barcelona,Credit Card,ATM,Middle Income,Platinum,Late Payment Fees,6490,24/01/2024,140,303,Passive
171,Barcelona,Savings Account,ATM,High Income,Platinum,Late Payment Fees,1827,15/10/2024,2599,392,Promoter
172,Zaragoza,Credit Card,Mobile,Middle Income,Platinum,Insurance Fees,2082,28/08/2023,8657,315,Detractor
173,Zaragoza,Checking Account,Online,Middle Income,Platinum,Insurance Fees,3393,26/01/2023,7374,208,Detractor
174,Madrid,Checking Account,ATM,Middle Income,Platinum,Credit Card Fees,2136,21/04/2023,5807,390,Passive
175,Valencia,Mortgage,Online,Middle Income,Platinum,Insurance Fees,9963,31/03/2023,9002,139,Detractor
176,Murcia,Credit Card,Online,High Income,Platinum,Late Payment Fees,1805,30/05/2023,4950,84,Promoter
177,Barcelona,Savings Account,Mobile,High Income,Platinum,Late Payment Fees,4223,15/03/2023,7175,186,Passive
178,Barcelona,Mortgage,Online,Middle Income,Business,Insurance Fees,4989,07/11/2023,1665,328,Passive
179,Bilbao,Credit Card,ATM,Middle Income,Platinum,Credit Card Fees,3029,07/04/2024,1987,486,Promoter
180,Madrid,Checking Account,Branch,High Income,Business,Credit Card Fees,5343,29/08/2024,7982,233,Passive
181,Valencia,Mortgage,Branch,High Income,Others,Insurance Fees,1227,24/05/2023,9128,335,Detractor
182,Madrid,Checking Account,Branch,High Income,Student,Insurance Fees,4440,17/09/2023,7589,13,Detractor
183,Malaga,Loan,Online,Low Income,Business,Late Payment Fees,1502,25/01/2024,2066,201,Detractor
184,Valencia,Loan,Branch,High Income,Student,Credit Card Fees,7742,06/09/2024,8095,389,Detractor
185,Barcelona,Mortgage,Mobile,High Income,Others,Late Payment Fees,9091,21/05/2024,8415,367,Promoter
186,Barcelona,Mortgage,Branch,High Income,Business,Insurance Fees,3684,13/08/2023,3471,92,Passive
187,Valencia,Credit Card,Branch,Middle Income,Others,Insurance Fees,6075,19/04/2024,2758,143,Detractor
188,Barcelona,Savings Account,Online,High Income,Platinum,Credit Card Fees,9282,22/05/2023,7210,124,Detractor
189,Murcia,Savings Account,Online,Middle Income,Business,Insurance Fees,3260,04/12/2024,2596,317,Detractor
190,Valencia,Loan,Online,Middle Income,Others,Late Payment Fees,5118,31/07/2024,4743,327,Passive
191,Madrid,Loan,ATM,Middle Income,Others,Late Payment Fees,3694,12/02/2024,9990,229,Promoter
192,Valencia,Loan,ATM,Middle Income,Platinum,Insurance Fees,3704,15/05/2024,7824,415,Detractor
193,Barcelona,Checking Account,Online,High Income,Platinum,Insurance Fees,7117,08/08/2023,1104,148,Detractor
194,Murcia,Savings Account,Branch,Low Income,Business,Late Payment Fees,7675,30/08/2024,4294,245,Detractor
195,Murcia,Mortgage,Online,Middle Income,Others,Late Payment Fees,1862,09/08/2024,7642,205,Passive
196,Malaga,Loan,Mobile,High Income,Student,Credit Card Fees,2358,16/07/2023,722,232,Detractor
197,Madrid,Credit Card,Branch,High Income,Student,Credit Card Fees,1573,07/04/2023,592,451,Detractor
198,Zaragoza,Mortgage,Branch,Low Income,Others,Insurance Fees,2488,10/02/2023,6399,319,Detractor
199,Zaragoza,Mortgage,Online,Low Income,Platinum,Credit Card Fees,4284,08/09/2024,4240,16,Promoter
200,Valencia,Mortgage,Branch,Middle Income,Others,Late Payment Fees,8457,26/11/2024,3954,136,Detractor
201,Malaga,Savings Account,Branch,Low Income,Others,Late Payment Fees,1590,19/11/2023,1508,38,Detractor
202,Bilbao,Loan,Mobile,Low Income,Business,Late Payment Fees,6709,15/09/2024,2375,267,Detractor
203,Valencia,Credit Card,Mobile,Middle Income,Business,Late Payment Fees,9505,07/06/2023,3315,336,Promoter
204,Malaga,Checking Account,Online,High Income,Others,Late Payment Fees,8774,28/08/2023,1543,84,Passive
205,Madrid,Credit Card,Branch,Low Income,Student,Late Payment Fees,3374,07/07/2024,3447,58,Promoter
206,Madrid,Credit Card,ATM,Low Income,Platinum,Late Payment Fees,1010,08/10/2024,7639,463,Promoter
207,Madrid,Credit Card,Mobile,High Income,Student,Insurance Fees,3256,17/02/2024,2828,478,Detractor
208,Madrid,Checking Account,ATM,Low Income,Business,Credit Card Fees,6227,25/01/2024,7355,403,Promoter
209,Madrid,Credit Card,ATM,Middle Income,Student,Insurance Fees,4746,04/08/2023,4167,43,Passive
210,Malaga,Credit Card,ATM,High Income,Others,Insurance Fees,8465,14/10/2023,2660,209,Detractor
211,Malaga,Loan,Mobile,Low Income,Student,Late Payment Fees,6089,30/05/2023,5733,466,Detractor
212,Murcia,Loan,Mobile,Low Income,Platinum,Late Payment Fees,1352,20/02/2024,1532,256,Detractor
213,Zaragoza,Loan,Branch,Middle Income,Student,Late Payment Fees,1351,23/09/2023,9543,154,Passive
214,Barcelona,Mortgage,Online,Middle Income,Student,Insurance Fees,4103,09/10/2023,3486,296,Detractor
215,Madrid,Credit Card,Branch,High Income,Platinum,Insurance Fees,5406,04/01/2024,1863,312,Passive
216,Bilbao,Savings Account,Mobile,Middle Income,Student,Insurance Fees,5622,16/04/2024,8137,238,Detractor
217,Barcelona,Savings Account,Branch,Low Income,Business,Credit Card Fees,1383,31/08/2023,876,50,Promoter
218,Malaga,Savings Account,Online,Middle Income,Others,Credit Card Fees,6943,27/01/2024,9352,486,Passive
219,Bilbao,Checking Account,Branch,Low Income,Business,Late Payment Fees,5017,30/05/2023,754,384,Promoter
220,Bilbao,Loan,Mobile,High Income,Platinum,Late Payment Fees,1304,11/11/2023,5796,403,Detractor
221,Bilbao,Loan,ATM,Middle Income,Platinum,Insurance Fees,4010,23/10/2023,2026,97,Promoter
222,Murcia,Loan,Branch,Middle Income,Others,Late Payment Fees,1165,20/04/2024,6445,122,Passive
223,Malaga,Checking Account,Mobile,Low Income,Others,Insurance Fees,3502,05/08/2024,8416,358,Passive
224,Bilbao,Credit Card,ATM,Low Income,Business,Late Payment Fees,9341,15/10/2024,3496,60,Passive
225,Madrid,Mortgage,Mobile,High Income,Business,Credit Card Fees,6002,20/05/2024,9779,280,Detractor
226,Valencia,Loan,Branch,Low Income,Platinum,Credit Card Fees,6289,11/12/2024,5860,208,Detractor
227,Bilbao,Credit Card,ATM,High Income,Others,Credit Card Fees,2691,02/10/2024,4377,395,Promoter
228,Murcia,Savings Account,Branch,High Income,Business,Insurance Fees,4256,24/09/2024,1163,436,Detractor
229,Barcelona,Mortgage,Online,High Income,Student,Insurance Fees,8670,27/06/2024,9798,390,Detractor
230,Malaga,Savings Account,ATM,Low Income,Student,Insurance Fees,9221,01/12/2023,1820,117,Detractor
231,Murcia,Credit Card,ATM,Low Income,Platinum,Late Payment Fees,8875,22/01/2023,897,245,Promoter
232,Bilbao,Credit Card,Mobile,Low Income,Platinum,Credit Card Fees,6702,10/01/2024,3624,157,Passive
233,Malaga,Savings Account,Branch,Middle Income,Platinum,Late Payment Fees,8127,03/04/2023,5222,61,Detractor
234,Valencia,Mortgage,Online,Middle Income,Platinum,Late Payment Fees,6715,07/06/2024,5872,275,Passive
235,Bilbao,Savings Account,Mobile,Middle Income,Platinum,Credit Card Fees,5512,22/11/2023,6388,49,Passive
236,Murcia,Savings Account,ATM,High Income,Business,Credit Card Fees,7683,13/11/2024,5135,374,Detractor
237,Zaragoza,Savings Account,ATM,Middle Income,Platinum,Insurance Fees,2646,12/08/2023,2489,175,Detractor
238,Madrid,Mortgage,ATM,Middle Income,Platinum,Late Payment Fees,1190,23/06/2024,3730,197,Detractor
239,Barcelona,Checking Account,ATM,Middle Income,Business,Credit Card Fees,2905,24/04/2024,7253,354,Promoter
240,Murcia,Mortgage,Mobile,Middle Income,Student,Credit Card Fees,2695,03/10/2024,8056,485,Promoter
241,Malaga,Savings Account,Branch,High Income,Others,Late Payment Fees,3242,11/01/2024,2071,326,Promoter
242,Bilbao,Loan,Branch,High Income,Platinum,Insurance Fees,7070,30/08/2024,7435,226,Passive
243,Madrid,Loan,Mobile,Low Income,Business,Credit Card Fees,5612,26/04/2023,2564,486,Detractor
244,Bilbao,Credit Card,Mobile,Low Income,Others,Late Payment Fees,7634,30/12/2023,4785,118,Promoter
245,Malaga,Checking Account,Online,High Income,Business,Credit Card Fees,2406,09/03/2024,3048,410,Promoter
246,Bilbao,Credit Card,Branch,High Income,Platinum,Late Payment Fees,4741,04/12/2024,9169,247,Detractor
247,Zaragoza,Credit Card,Branch,High Income,Others,Insurance Fees,6728,22/01/2023,7889,219,Detractor
248,Madrid,Loan,ATM,Low Income,Others,Insurance Fees,9826,30/07/2024,1988,122,Detractor
249,Madrid,Mortgage,Branch,Middle Income,Platinum,Credit Card Fees,4520,21/09/2023,4349,82,Detractor
250,Malaga,Credit Card,Online,Middle Income,Others,Late Payment Fees,4273,03/01/2023,544,21,Detractor
251,Barcelona,Credit Card,ATM,High Income,Others,Insurance Fees,2219,16/07/2024,5081,379,Passive
252,Zaragoza,Checking Account,Mobile,Low Income,Student,Credit Card Fees,6163,04/02/2023,741,211,Detractor
253,Murcia,Loan,ATM,High Income,Others,Insurance Fees,9268,31/05/2024,3800,328,Passive
254,Bilbao,Mortgage,ATM,Low Income,Student,Credit Card Fees,1482,03/12/2023,7203,165,Passive
255,Valencia,Checking Account,Branch,Middle Income,Platinum,Late Payment Fees,3731,23/05/2023,409,496,Detractor
256,Bilbao,Mortgage,Online,Middle Income,Business,Late Payment Fees,6795,10/06/2024,8185,269,Promoter
